Corridas,Ano,"Menor tempo de volta",Voltas,Posição,Nome,Sobrenome
"Russian Grand Prix",2014,1:36.844,1,1,Lewis,Hamilton
"Azerbaijan Grand Prix",2017,1:43.441,1,3,Sergio,Perez
"Turkish Grand Prix",2007,1:24.770,1,5,Nick,Heidfeld
"Korean Grand Prix",2010,1:39.605,1,5,Nico,Rosberg
"Indian Grand Prix",2011,1:27.249,1,5,Felipe,Massa
"San Marino Grand Prix",1996,1:20.411,1,6,Rubens,Barrichello
"Brazilian Grand Prix",1996,1:11.044,1,7,Heinz-Harald,Frentzen
"French Grand Prix",2001,1:15.045,1,7,Heinz-Harald,Frentzen
"Chinese Grand Prix",2009,1:32.238,1,9,Lewis,Hamilton
"Japanese Grand Prix",2008,1:18.426,1,9,Sebastien,Bourdais
"Malaysian Grand Prix",2009,1:34.080,1,10,Lewis,Hamilton
"Monaco Grand Prix",2000,1:14.439,1,10,Johnny,Herbert
"Argentine Grand Prix",1996,1:27.981,1,10,Eddie,Irvine
"Spanish Grand Prix",1997,1:15.641,1,11,Damon,Hill
"British Grand Prix",1996,1:01:07.384,1,12,Johnny,Herbert
"Italian Grand Prix",2007,1:21.046,1,12,Alexander,Wurz
"Australian Grand Prix",2009,1:24.125,1,13,Lewis,Hamilton
"Belgian Grand Prix",2000,1:45.108,1,13,Ricardo,Zonta
"Abu Dhabi Grand Prix",2011,1:40.279,1,14,Jaime,Alguersuari
"Bahrain Grand Prix",2012,1:30.252,1,14,Jean-Eric,Vergne
"United States Grand Prix",2016,1:10.399,1,14,Jolyon,Palmer
"Luxembourg Grand Prix",1998,1:18.805,1,14,Jarno,Trulli
"Portuguese Grand Prix",1996,1:22.873,1,16,Pedro,Diniz
"Canadian Grand Prix",1998,1:13.622,1,17,Eddie,Irvine
"Mexican Grand Prix",2017,1:18.785,1,17,Pascal,Wehrlein
"German Grand Prix",1996,1:13.780,1,18,Ukyo,Katayama
"European Grand Prix",2004,1:18.354,1,18,Felipe,Massa
"Hungarian Grand Prix",2003,1:16.207,1,20,Cristiano,"da Matta"
"Austrian Grand Prix",2001,1:07.411,1,21,Mika,Hakkinen
"Singapore Grand Prix",2014,1:45.008,1,21,Nico,Rosberg
